time_ms,active_raw,sham_raw,active_revpeak_norm,sham_revpeak_norm,active_abs_norm,sham_abs_norm
0.0,1.053211188333223,0.012138072205968076,1.072243346007605,0.012730133829612158,0.9868766404199475,0.009656604777672696
0.005,1.067216656263186,1.2569710043464604,1.086501901140685,1.3182825768168387,1.0,1.0
0.01,1.0625481669531982,1.1114999483946448,1.0817490494296582,1.1657158447050393,0.995625546806649,0.8842685666982028
0.015,1.0209115134131523,1.0356764818428017,1.0393599965949734,1.0861939189617165,0.9566113004531159,0.8239461994441815
0.02,0.9927136057176768,0.9277403122064369,1.0106525358000882,0.9729929212076373,0.9301893855307896,0.7380761441579943
0.025,0.9411732514722629,0.8571462504712292,0.9581808164500702,0.898955476198599,0.8818952046417091,0.681914099456007
0.03,0.875627429296886,0.7727394992203521,0.8914505419669724,0.8104315968449952,0.8204776641725762,0.6147631859035
0.035,0.8050449807191674,0.6840323957518414,0.8195926262225016,0.7173976059748338,0.7543407198478315,0.5441910699503302
0.04,0.7253067187782781,0.5805835501686597,0.7384134460775986,0.6089028115423801,0.6796246240364248,0.46189096499526955
0.045,0.6416420482908537,0.4735764331312968,0.6532369048294658,0.49667618300602795,0.6012294172183709,0.37676002986045365
0.05,0.547156237656549,0.3641561019680272,0.5570436789436866,0.38191863042663055,0.5126946196402082,0.28970923013245137
0.055,0.447627994041158,0.2681977429643077,0.45571690028943007,0.2812796878121108,0.4194349773442522,0.21336828139782932
0.06,0.3363263313649059,0.1389467840753228,0.342403949832588,0.14572422428030946,0.3151434428905358,0.11054096203879078
0.065,0.22857713356409054,0.012336657199007308,0.23270765942152538,0.012938405249904009,0.21418062791902417,0.009814591710030362
0.07,0.11915099582207633,-0.10026800174734507,0.12130412575904005,-0.1051587978232567,0.11164649194970261,-0.07976954233680007
0.075,0.008410248652472106,-0.20820417138370953,0.008562226888373608,-0.21835979557733562,0.007880544782650073,-0.165639597622987
0.08,-0.10549159998523502,-0.3187579467177647,-0.10739789644930811,-0.3343060786023634,-0.09884740775561862,-0.2535921239356648
0.085,-0.21175663625914645,-0.4287449999664267,-0.2155832056447783,-0.44965799640457554,-0.19841953835372414,-0.3410937869560046
0.09,-0.31950583405996164,-0.5178260471060365,-0.32527949605584067,-0.543084170884873,-0.2993823533252356,-0.4119633987701021
0.095,-0.41586136304975896,-0.590097048782444,-0.423376227228872,-0.6188803523319099,-0.3896691085256109,-0.4694595553453155
0.1,-0.5181999907771351,-0.639580712836815,-0.5275641753211122,-0.6707776927911291,-0.485562128117069,-0.5088269424077555
0.105,-0.6054055129825062,-0.700458045702204,-0.6163455536008154,-0.734624453744257,-0.5672751726929638,-0.5572587142265821
0.11,-0.6851437749233956,-0.7613353785675935,-0.6975247337457186,-0.7984712146973852,-0.6419912685043706,-0.605690486045409
0.115,-0.7521853717831676,-0.8222127114329827,-0.7657778124586189,-0.8623179756505133,-0.7048103750712745,-0.6541222578642357
0.12,-0.8212778522552353,-0.8819682132850756,-0.8361188354803908,-0.9249881857732344,-0.7695511941604295,-0.7016615421002803
0.125,-0.8739400375139458,-0.9290270500560507,-0.8897326580027611,-0.9743424225741851,-0.8188965496228384,-0.7390998255676404
0.13,-0.9161434131393844,-0.9534913276192856,-0.932698673930726,-1.0,-0.8584418241252173,-0.7585627069536393
0.135,-0.9424112140604313,-0.9501316411581445,-0.9594411497644841,-0.9964764373163942,-0.88305519645865,-0.7558898637062423
0.14,-0.9729131722014346,-0.8802912733438796,-0.9904942965779471,-0.9232294493352396,-0.9116360454943132,-0.7003274302270571
0.145,-0.9822501508214097,-0.8563879112872924,-1.0,-0.8981601473246278,-0.9203849518810145,-0.681310792632449
0.15,-0.9775816615114213,-0.8515324501417547,-0.9952471482889728,-0.8930678502004777,-0.9160104986876632,-0.6774479659413415
0.155,-0.9542392149614836,-0.8188530249718409,-0.9714828897338403,-0.8587944129669067,-0.8941382327209096,-0.6514494146168383
0.16,-0.9398598033604232,-0.80447361337078,-0.9568436335433114,-0.8437136133995274,-0.8806644816164158,-0.6400096824739817
0.165,-0.9163303849749356,-0.7669387270553292,-0.9328890244594531,-0.804347879041807,-0.8586170198874404,-0.6101483044583715
0.17,-0.8741270093494969,-0.7193189747777071,-0.8899230085314882,-0.7544053668256542,-0.8190717453850614,-0.5722637771996214
0.17500000000000002,-0.8263202852363252,-0.6666567895189983,-0.8412523882488716,-0.6991744656802837,-0.7742760388782263,-0.5303676753193003
0.18,-0.7676808078187859,-0.5971903653758305,-0.7815532603144021,-0.626319661309263,-0.719329859886921,-0.47510273770104106
0.185,-0.7028828729856048,-0.5221205927449287,-0.7155843879462038,-0.5475881925938224,-0.658613102466672,-0.4153799816698206
0.19,-0.6244534138935595,-0.44555504542963414,-0.6357376615023763,-0.46728798943784144,-0.5851233769908134,-0.35446724219489256
0.195,-0.5447151519526701,-0.35629283303322,-0.5545584813574733,-0.3736718129600884,-0.5104072811794066,-0.2834535019512786
0.2,-0.4612374533007976,-0.2623621313268184,-0.4695722906380685,-0.2751594311632539,-0.43218727012357644,-0.20872568294702146
0.20500000000000002,-0.37178826906883417,-0.16581963050147006,-0.3785067060136617,-0.17390785390308164,-0.34837187640102535,-0.13192001241721962
0.21,-0.28215791958006414,-0.06965107334722039,-0.28725668236763185,-0.07304846025304489,-0.2643867277784327,-0.05541183774834505
0.215,-0.183745700399224,0.03343544172234895,-0.18706609537862234,0.03506633018449352,-0.1721728191936226,0.026600010347679507
0.22,-0.0827158755206954,0.12941702704104974,-0.08421060098746129,0.13572963202946295,-0.07750616993771588,0.10295943708609079
0.225,0.01682398125218191,0.23716622484186514,0.01712800068100046,0.2487345379784744,0.015764354082600594,0.1886807444418143
0.23,0.11448250651208328,0.33557844402270526,0.11655127404800797,0.35194703328932275,0.10727203875634675,0.26697389427625123
0.23500000000000001,0.2145716656341239,0.41531670596359455,0.2184491042884419,0.43557470732384485,0.2010572683389683,0.33041072906811486
0.24,0.3023439099248859,0.49972345721447115,0.3078074456614233,0.524098586677448,0.2833013410637071,0.3975616426206215
0.245,0.3962746116312876,0.5607877619154097,0.4034355314681313,0.5881414394356439,0.3713159922173876,0.44614216236991183
0.25,0.47619984540772614,0.6087756512853887,0.4848050621417595,0.6384700454543237,0.4462072837910156,0.48431956598864484
0.255,0.5514565898741771,0.6603160055308026,0.5614217411043612,0.6925243957692887,0.5167241221712928,0.525323180286185
0.26,0.6231550628864504,0.7165248490862042,0.6344158485140828,0.7514749514033352,0.5839068002071871,0.5700408733443684
0.265,0.6883327479694716,0.7680652033316181,0.7007713334468325,0.8055293017183002,0.6449793900140574,0.6110444876419086
0.27,0.7400600740504347,0.8151182335238507,0.7534334033255757,0.8548774487116414,0.693448766665359,0.6484781516083236
0.275,0.7871131042426673,0.8478034652725074,0.80133670998619,0.8891569757528223,0.73753824926113,0.6744813224337722
0.28,0.8199795012481305,0.8758085945536906,0.8347970224921015,0.9185281178597018,0.7683346173768071,0.6967611754966867
0.28500000000000003,0.8575143875635812,0.8847658229238247,0.8730101867090396,0.9279222550801197,0.803505438685835,0.7038872176561008
0.29,0.8758085945536906,0.8472309366083742,0.8916349809885935,0.8885565207223998,0.820647419072616,0.674025839640491
0.295,0.8758085945536906,0.7684333404239738,0.8916349809885935,0.8059153955208258,0.820647419072616,0.6113373640018904
0.3,0.8692587737307252,0.7394817388075587,0.8849668009761108,0.7755516147733883,0.8145101265326931,0.5883045322847674
